Código_IBGE,Município_Original,Nome_Oficial_IBGE,Região,UF,Código_UF,Região_Brasil,LUCRO_AGRO_HA,RISCO_AGRO,Classificação_Lucro,Classificação_Risco,Carbono_Vegetação_Nativa_ton,Carbono_Pastagem_ton,Carbono_Agricultura_ton,Área_Total_ha,Carbono_Total_ton,Receita_Carbono_Potencial_R$,Densidade_Carbono_ton_ha,Receita_Carbono_R$_ha,Diferença_Lucro_Agro-Carbono_R$_ha,Recomendação_Uso_Solo,Latitude,Longitude,Mesorregiao,valor_carbono,area_conversao,valor_agro,delta,custo_implementacao,carbon_value,carbon_score,bioma_dominante,biodiversity_score,populacao,idh,gini,desemprego_pct,social_need,emprego_potencial,social_score,composite_balanced,composite_carbon_focused,composite_social_focused,composite_eco_social
5200902.0,Amorinópolis,Amorinópolis,NW,GO,52.0,Centro Oeste,1642.25,0.41,Alto,Muito Alto,85633.359375,-658673.25,-26153.01953125,40788.77383199066,-599192.91015625,17975787.3046875,-14.690142749187098,440.70428247561296,1201.545717524387,Agricultura (Requer Seguro),-13.60152684661767,-49.8386644507298,Noroeste Goiano,-32933662.5,8157.754766398131,7904272.931419226,-40837935.43141922,4078877.3831990655,-131734650.0,-1.5348417264903553,Cerrado_típico,0.5,7661,0.8065749239140868,0.6407551440490831,6.607323596487476,0.4172350284307605,11.739877383199065,0.3743416089256275,-0.21422162270710388,-0.739753794555369,0.017636620057305402,-0.33906836881101665
5201108.0,Anápolis,Anápolis,CS,GO,52.0,Centro Oeste,2176.25,0.28,Muito Alto,Baixo,-9301213.0,-8688235.0,-1996276.5,93451.02010329063,-19985724.5,599571735.0,-213.86309617497963,6415.892885249389,-4239.642885249389,Mercado de Carbono/Conservação,-15.698707692968116,-51.63712227932019,Noroeste Goiano,-434411750.0,18690.20402065813,29285680.679969218,-463697430.6799692,9345102.010329062,-1737647000.0,-20.245342599769966,Cerrado_denso,0.17902871850985821,7639,0.744133897196237,0.669609764590651,4.887519765541264,0.44526900219527515,16.984102010329064,0.4536154221817766,-6.467654337274031,-12.034406066907248,-3.741093522942956,-7.935802468067688
5201207.0,Anhanguera,Anhanguera,CS,GO,52.0,Centro Oeste,2223.0,0.28,Muito Alto,Baixo,-37820.25,-412139.8125,-226310.8125,5554.022459450518,-676270.875,20288126.25,-121.76235871161856,3652.870761348557,-1429.8707613485572,Mercado de Carbono/Conservação,-16.616574086787775,-49.3336161154352,Centro Goiano,-20606990.625,1110.8044918901037,1777909.2375396243,-22384899.862539623,555402.2459450519,-82427962.5,-0.9603690166147044,Cerrado_denso,0.17902871850985821,17860,0.7801624780113556,0.6799783116380377,3.0,0.4129133204334954,18.415402245945053,0.4318015883823757,-0.11102975832459153,-0.4666939920840018,0.10281289340845617,-0.22617580156546332
5201306.0,Anicuns,Anicuns,W,GO,52.0,Centro Oeste,1782.5,0.38,Alto,Alto,-231845.53125,-784287.1875,-223930.25,97480.27529512474,-1240062.96875,37201889.0625,-12.721168102938451,381.6350430881536,1400.8649569118463,Agricultura (Requer Seguro),-17.526490366133455,-48.93645297248149,Sul Goiano,-39214359.375,19496.055059024948,21546065.24848142,-60760424.62348142,9748027.529512474,-156857437.5,-1.8275475752609736,Cerrado_denso,0.17902871850985821,1344,0.8049622098363485,0.5456361676918332,11.652800641285406,0.3984432933765749,11.092027529512475,0.35015005319316755,-0.4249602046421911,-0.9992488575501443,-0.11961373943432257,-0.5893775320618126
5201405.0,Aparecida de Goiânia,Aparecida De Goiânia,CS,GO,52.0,Centro Oeste,1942.5,0.3,Alto,Baixo,-10575213.0,-6882927.5,-3439221.75,27853.57975415723,-20897362.25,626920867.5,-750.2576844500933,22507.7305335028,-20565.2305335028,Mercado de Carbono/Conservação,-16.70095803487821,-49.93754062468992,Centro Goiano,-344146375.0,5570.715950831446,7574781.014143058,-351721156.01414305,2785357.975415723,-1376585500.0,-16.03861144719016,Cerrado_denso,0.17902871850985821,1685,0.7552808497654491,0.6350134698203107,3.029636165781459,0.37834567240085293,4.470357975415723,0.2266806868569072,-5.1565908669331515,-9.544407585658096,-3.0359081336219162,-6.29849695410074
5201454.0,Aparecida do Rio Doce,Aparecida Do Rio Doce,SW,GO,52.0,Centro Oeste,2176.25,0.25,Muito Alto,Muito Baixo,-213048.171875,-49784.58984375,-50631.01953125,60154.301013550175,-313463.78125,9403913.4375,-5.210995323167168,156.32985969501505,2019.920140304985,Agricultura Intensiva,-16.702559918344097,-46.721582723236594,Leste Goiano,-2489229.4921875,12030.860202710037,19636619.637110785,-22125849.129298285,6015430.101355017,-9956917.96875,-0.11600815097378778,Cerrado_denso,0.17902871850985821,6803,0.7871075286862559,0.6707432548499924,12.435720481842317,0.5424360506031247,12.818430101355018,0.5022133242055474,0.19154931751678939,0.050484287674024,0.3139321080305425,0.12565089185553766
5201504.0,Aporé,Aporé,SW,GO,52.0,Centro Oeste,2316.5,0.24,Muito Alto,Muito Baixo,589888.4375,38580.38671875,-113423.625,289954.80418271327,515045.19921875,15451355.9765625,1.776294759697092,53.28884279091276,2263.211157209087,Agricultura Intensiva,-15.8202458371069,-51.08656639343385,Noroeste Goiano,1929019.3359375,57990.960836542654,102095406.1911668,-100166386.85522927,28995480.41827133,7716077.34375,0.08990009440959053,Transicao_Amazonia,0.30151134457776363,3962,0.7417102612533628,0.6170525699631001,10.306713036618689,0.47496916101103526,32.95748041827133,0.590313092150501,0.3298722261969972,0.21786485661277039,0.4324701430877714,0.2746271940250419
5201603.0,Araçu,Araçu,NW,GO,52.0,Centro Oeste,1689.0,0.4,Alto,Alto,10647.359375,-411195.15625,5926.24169921875,14935.056717528269,-394621.5551757813,11838646.655273438,-26.42250127598381,792.6750382795143,896.3249617204857,Agricultura (Requer Seguro),-14.566182631845216,-51.33126547495653,Noroeste Goiano,-20559757.8125,2987.0113435056537,3027037.295508629,-23586795.10800863,1493505.6717528268,-82239031.25,-0.9581677767287823,Cerrado_denso,0.17902871850985821,19479,0.7754089418895384,0.6850743251964797,5.915393718330236,0.46364165421561787,20.972505671752828,0.5050752797767801,-0.08539029408813967,-0.45438219444328776,0.14721735622228324,-0.2106405673322136
5201702.0,Aragarças,Aragarças,W,GO,52.0,Centro Oeste,2016.25,0.35,Muito Alto,Médio,-1790983.5,-613098.8125,-47382.62109375,66417.21205616578,-2451464.93359375,73543948.0078125,-36.910084866565406,1107.3025459969622,908.9474540030378,Agricultura (Requer Seguro),-15.486704607492868,-52.43950518581966,Noroeste Goiano,-30654940.625,13283.442411233156,17408781.495071754,-48063722.12007176,6641721.205616578,-122619762.5,-1.428644080941023,Transicao_Amazonia,0.30151134457776363,4493,0.772724660642548,0.6200861694905451,7.302047215470523,0.4205270134655837,11.134721205616579,0.37007968161589594,-0.24612671125047095,-0.7262966601777885,-0.0033787383031143314,-0.37683715822212455
5201801.0,Aragoiânia,Aragoiânia,CS,GO,52.0,Centro Oeste,2129.5,0.28,Muito Alto,Baixo,-187387.609375,-1104568.625,-151308.5625,21852.485907065155,-1443264.796875,43297943.90625,-66.04579465297246,1981.373839589174,148.12616041082606,Sistema Agroflorestal/Misto,-17.792279073347647,-49.20470814619632,Sul Goiano,-55228431.25,4370.497181413031,6701021.098429715,-61929452.34842972,2185248.590706516,-220913725.0,-2.573868022455865,Cerrado_denso,0.17902871850985821,2453,0.768056000554721,0.6491200107955677,7.9383302333476635,0.46097256407389425,4.638248590706516,0.2810985001879758,-0.6947234802382706,-1.4573988588178581,-0.31030876067641594,-0.9017160215408077
5202155.0,Araguapaz,Araguapaz,N,GO,52.0,Centro Oeste,1548.75,0.43,Alto,Muito Alto,411382.3125,-687872.875,-60118.62890625,219222.4964006617,-336609.19140625,10098275.7421875,-1.5354682887610525,46.06404866283157,1502.6859513371685,Agricultura (Requer Seguro),-14.692300130006885,-49.242947578215045,Noroeste Goiano,-34393643.75,43844.499280132346,38705375.90825984,-73099019.65825984,21922249.640066173,-137574575.0,-1.6028827511529948,Cerrado_denso,0.17902871850985821,77557,0.7816203199387413,0.6839407615644307,4.273992630822672,0.4354025230512743,99.47924964006617,0.7076714983306102,-0.22926352133982758,-0.8108217463147408,0.1398320924697387,-0.4280073133911326
5202353.0,Arenópolis,Arenópolis,W,GO,52.0,Centro Oeste,1969.5,0.36,Alto,Alto,-581579.3125,-545719.1875,-35037.015625,107435.37750126413,-1162335.515625,34870065.46875,-10.818927085831886,324.5678125749566,1644.9321874250434,Agricultura (Requer Seguro),-15.97347242358236,-49.951655543383936,Centro Goiano,-27285959.375,21487.075500252828,27084028.926558685,-54369988.30155869,10743537.750126414,-109143837.5,-1.2716359438028095,Transicao_Amazonia,0.30151134457776363,10189,0.7642716701168601,0.5735470267582243,4.436706764202152,0.33438896017451253,20.932537750126414,0.3640571917176579,-0.19636167256026144,-0.632995151379596,0.02440939518558552,-0.3152384013464868
5202601.0,Aurilândia,Aurilândia,W,GO,52.0,Centro Oeste,1876.0,0.37,Alto,Alto,-4794.5390625,-704619.1875,-27198.150390625,56432.8438480726,-736611.876953125,22098356.30859375,-13.052893080069063,391.586792402072,1484.413207597928,Agricultura (Requer Seguro),-18.017782985551143,-50.579766312592064,Sul Goiano,-35230959.375,11286.56876961452,13339369.89743201,-48570329.272432014,5643284.384807261,-140923837.5,-1.6419050420838122,Cerrado_denso,0.17902871850985821,14487,0.7848011286940342,0.6295914700816528,7.669142698656426,0.4307081590838855,20.13028438480726,0.46326348581678345,-0.3252396016016984,-0.8708963227503053,-0.014617173224720725,-0.4924978322662249
5203104.0,Baliza,Baliza,W,GO,52.0,Centro Oeste,1735.75,0.38,Alto,Alto,250003.109375,-8513.013671875,2572.15087890625,178435.07651494123,244062.24658203125,7321867.3974609375,1.3677929886257243,41.03378965877173,1694.7162103412284,Agricultura (Requer Seguro),-16.49095815643968,-47.91431666067162,Leste Goiano,-425650.68359375,35687.01530298825,38405116.82354035,-38830767.5071341,17843507.651494123,-1702602.734375,-0.019837041510000025,Cerrado_denso,0.17902871850985821,2417,0.7777420334642292,0.6797689102320397,4.927890751828571,0.4425904581237765,20.260507651494127,0.47700264220117045,0.21471415175835118,0.10440535105164012,0.3180399207206739,0.15907719924017738
5203203.0,Barro Alto,Barro Alto,NW,GO,52.0,Centro Oeste,1829.25,0.38,Alto,Alto,-25470.193359375,-239962.265625,-78607.8359375,109403.10902850352,-344040.294921875,10321208.84765625,-3.144703089125556,94.34109267376668,1734.9089073262332,Agricultura (Requer Seguro),-15.28457256564731,-52.1445602330441,Noroeste Goiano,-11998113.28125,21880.621805700703,24815579.01160837,-36813692.29285837,10940310.902850352,-47992453.125,-0.5591605520102908,Cerrado_denso,0.17902871850985821,6951,0.7098363627360397,0.6694602375464597,3.641173685872747,0.44014329774013494,17.891310902850353,0.45603070455926564,0.029606934495007564,-0.22233454589482005,0.19759205603547284,-0.06084659248831992
5203302.0,Bela Vista de Goiás,Bela Vista De Goiás,CS,GO,52.0,Centro Oeste,2036.0,0.29,Muito Alto,Baixo,-283450.40625,-600377.0625,-195694.59375,127661.21654506514,-1079522.0625,32385661.875,-8.45614738536447,253.6844215609341,1782.3155784390658,Agricultura Intensiva,-15.313874045907808,-50.07762342062448,Noroeste Goiano,-30018853.125,25532.24330901303,36908389.63777688,-66927242.76277688,12766121.654506514,-120075412.5,-1.3989998336090133,Cerrado_denso,0.17902871850985821,15261,0.7688347067674642,0.633354895944249,3.0,0.37082101323726324,28.027121654506516,0.4403627631338268,-0.25286712851722004,-0.7285883060678694,0.020223434860465017,-0.3999158934128967
5203401.0,Bom Jardim de Goiás,Bom Jardim De Goiás,W,GO,52.0,Centro Oeste,1922.75,0.36,Alto,Alto,250387.390625,-460092.3125,16553.0703125,189827.12707454304,-193151.8515625,5794555.546875,-1.0175144856227605,30.525434568682808,1892.2245654313167,Agricultura (Requer Seguro),-16.81538300045894,-48.5824855667387,Centro Goiano,-23004615.625,37965.42541490861,46718733.898569934,-69723349.52356994,18982712.707454305,-92018462.5,-1.0721080281648603,Cerrado_denso,0.17902871850985821,3357,0.7896077219271902,0.6618897730816344,6.7480030461069616,0.4472667300023628,22.339712707454304,0.4967560112661716,-0.12581912835565234,-0.5239942355815259,0.11943774482870251,-0.2578805216087665
5203500.0,Bom Jesus de Goiás,Bom Jesus De Goiás,S,GO,52.0,Centro Oeste,2503.5,0.24,Muito Alto,Muito Baixo,-950061.9375,-236844.328125,-1057302.75,140433.03419917752,-2244209.015625,67326270.46875,-15.980634673477304,479.4190402043191,2024.0809597956809,Agricultura Intensiva,-14.253500716256074,-48.1030798213257,Norte Goiano,-11842216.40625,28086.606839835506,53439263.36988143,-65281479.77613143,14043303.419917751,-47368865.625,-0.5518951278024775,Cerrado_denso,0.17902871850985821,20969,0.7847824012028416,0.6692671483192291,3.0,0.4003541878380924,35.01230341991776,0.505871160833794,0.04895027961692558,-0.21049922292895284,0.22894941464175256,-0.047972331550288905
5203559.0,Bonfinópolis,Bonfinópolis,CS,GO,52.0,Centro Oeste,2176.25,0.28,Muito Alto,Baixo,6745.78515625,-332801.0,-71024.6171875,12332.040819482589,-397079.83203125,11912394.9609375,-32.19903646474551,965.9710939423652,1210.278906057635,Agricultura Intensiva,-17.05882628483396,-49.96381856377682,Centro Goiano,-16640050.0,2466.408163896518,3864614.952009454,-20504664.95200945,1233204.0819482591,-66560200.0,-0.7754935568094146,Cerrado_denso,0.17902871850985821,6497,0.7872338206790618,0.6422467619572682,9.138959382027979,0.46443762441606307,7.7302040819482585,0.35480391091700236,-0.07620006692707279,-0.3673183678206338,0.09358937889029015,-0.16762515313642207
5203575.0,Bonópolis,Bonópolis,N,GO,52.0,Centro Oeste,987.75,0.46,Baixo,Muito Alto,353563.0,50479.046875,-363.9367370605469,162715.47224591128,403678.11013793945,12110343.304138184,2.480883376154065,74.42650128462195,913.323498715378,Agricultura (Requer Seguro),-15.303104852894656,-48.03668230931646,Leste Goiano,2523952.34375,32543.09444918226,17357998.43277708,-14834046.08902708,16271547.22459113,10095809.375,0.11762637613902277,Cerrado_denso,0.17902871850985821,9414,0.7845082319446577,0.6399496417964172,9.674406480976314,0.4712624462331988,25.685547224591126,0.5456655836096039,0.28342247966139605,0.1971828428523188,0.38673036909553854,0.2277951545814732
5203609.0,Brazabrantes,Brazabrantes,CS,GO,52.0,Centro Oeste,2269.75,0.27,Muito Alto,Baixo,4911.419921875,-40344.2578125,-42780.328125,12282.045333380138,-78213.166015625,2346394.98046875,-6.368089670134769,191.04269010404303,2078.7073098959568,Agricultura Intensiva,-16.518761356767936,-49.778488464995725,Centro Goiano,-2017212.890625,2456.409066676028,4070067.1697341767,-6087280.060359176,1228204.5333380138,-8068851.5625,-0.09401027036532834,Transicao_Amazonia,0.30151134457776363,6489,0.7587156654469223,0.6269262412262153,7.262053181150709,0.43237077276470703,7.7172045333380135,0.3300795033128548,0.18070238561647428,0.06848359942217212,0.23954791683019994,0.14901633034754508
5203807.0,Britânia,Britânia,W,GO,52.0,Centro Oeste,1782.5,0.38,Alto,Alto,-960469.0625,-720287.375,-56497.6171875,146253.36290283158,-1737254.0546875,52117621.640625,-11.878387068895668,356.35161206687,1426.14838793313,Agricultura (Requer Seguro),-17.459502461009045,-51.294309936121,Sul Goiano,-36014368.75,29250.672580566315,32326380.802412864,-68340749.55241287,14625336.290283158,-144057475.0,-1.6784150839801162,Cerrado_denso,0.17902871850985821,123344,0.7852668133910914,0.6558394218646786,8.366858791404972,0.4672355783793166,137.96933629028317,0.812833844160428,-0.21843399359063959,-0.8403667941365409,0.1878230334022052,-0.43718777735601755
5203906.0,Buriti Alegre,Buriti Alegre,S,GO,52.0,Centro Oeste,2316.5,0.26,Muito Alto,Baixo,-1872822.625,-3501872.5,-5043022.5,89540.02028612689,-10417717.625,312531528.75,-116.34705455404163,3490.411636621249,-1173.9116366212488,Mercado de Carbono/Conservação,-14.581211266408705,-47.465639957143765,Leste Goiano,-175093625.0,17908.00405722538,30698079.634936318,-205791704.6349363,8954002.02861269,-700374500.0,-8.160070313845441,Cerrado_denso,0.17902871850985821,13145,0.7657925592108156,0.6879990870500313,7.27742667931659,0.49084346355545394,22.099002028612688,0.5433603760909381,-2.4490011985898237,-4.769780952266159,-1.270192093412554,-3.083744562916046
5203939.0,Buriti de Goiás,Buriti De Goiás,W,GO,52.0,Centro Oeste,1829.25,0.37,Alto,Alto,25092.53125,-516317.78125,2472.474853515625,20012.784266435283,-488752.7751464844,14662583.254394531,-24.42202787176409,732.6608361529228,1096.589163847077,Agricultura (Requer Seguro),-15.908015182370502,-47.99470065316196,Leste Goiano,-25815889.0625,4002.5568532870566,4612656.588041469,-30428545.65054147,2001278.4266435285,-103263556.25,-1.2031247280672468,Cerrado_denso,0.17902871850985821,3754,0.783911701626634,0.6179124571066282,8.784761820859941,0.4361192037688737,5.755278426643528,0.2937356893379811,-0.23808154877902465,-0.6330573038121864,-0.028577788308689067,-0.35089126595535924
5203962.0,Buritinópolis,Buritinópolis,NE,GO,52.0,Centro Oeste,106.75,0.6,Muito Baixo,Muito Alto,-48869.59375,-454385.21875,-36906.5546875,24874.4859600704,-540161.3671875,16204841.015625,-21.71547858535008,651.4643575605024,-544.7143575605024,Mercado de Carbono/Conservação,-15.25754596242855,-50.467679631907686,Noroeste Goiano,-22719260.9375,4974.89719201408,212428.11009900123,-22931689.047599003,2487448.59600704,-90877043.75,-1.0588093468771471,Cerrado_denso,0.17902871850985821,35848,0.7770769666027686,0.6781304163337661,8.527249219943076,0.4952083679918048,38.33544859600704,0.6411357507100282,-0.07234145211979576,-0.49435806589231945,0.2087253247525591,-0.22368510120490992
5204003.0,Cabeceiras,Cabeceiras,E,GO,52.0,Centro Oeste,2109.75,0.33,Muito Alto,Médio,122484.078125,-71820.828125,-40069.64453125,112920.10500825162,10593.60546875,317808.1640625,0.0938150515178486,2.814451545535458,2106.9355484544644,Agricultura (Requer Seguro),-15.25790659173738,-47.19294515030104,Leste Goiano,-3591041.40625,22584.02100165033,31923247.666515287,-35514289.07276529,11292010.500825165,-14364165.625,-0.1673570375559385,Cerrado_denso,0.17902871850985821,3087,0.79127299688713,0.5662745188640398,6.4884049855906865,0.3470913948930481,14.379010500825162,0.33444791008614877,0.11756394414408408,-0.005489856393176229,0.20300308224247318,0.07155825439879764
5204102.0,Cachoeira Alta,Cachoeira Alta,S,GO,52.0,Centro Oeste,2363.25,0.25,Muito Alto,Muito Baixo,-207174.15625,-945729.6875,-308634.28125,165330.01939376286,-1461538.125,43846143.75,-8.840125528075376,265.20376584226125,2098.0462341577386,Agricultura Intensiva,-15.853739058664928,-47.15303451627899,Leste Goiano,-47286484.375,33066.00387875258,58607425.249846525,-105893909.62484652,16533001.939376287,-189145937.5,-2.2037412121346724,Transicao_Amazonia,0.30151134457776363,17165,0.7602826109818523,0.5890824043465905,10.395374916144007,0.4408999836960097,33.69800193937628,0.5513238475100187,-0.4402857481403736,-1.1641683140098598,-0.04965166500537055,-0.6506271775207597
5204201.0,Cachoeira de Goiás,Cachoeira De Goiás,NW,GO,52.0,Centro Oeste,1595.5,0.41,Alto,Muito Alto,51723.44921875,-293898.65625,8091.13330078125,42257.22622951139,-234084.07373046875,7022522.211914063,-5.539504000075383,166.1851200022615,1429.3148799977384,Agricultura (Requer Seguro),-19.5,-48.26714624343717,Sul Goiano,-14694932.8125,8451.445245902278,7955725.72500388,-22650658.53750388,4225722.622951139,-58779731.25,-0.6848432374807166,Transicao_Amazonia,0.30151134457776363,1272,0.7735466534334474,0.6165965779608453,4.394662008136128,0.37309784670950824,5.497722622951139,0.24617605569567355,-0.04279966572144547,-0.2986016979896381,0.07103925483681353,-0.10409754602204646
